,testset_idx,doc_ix,snippet
22,29963,5527921,"(29896, 29929, 29929, 29929, 6559, 6445, 393, 5534, 6238, 3698, 750, 5161, 264, 15301, 368, 297, 278, 3517, 316, 6332, 9401)"
23,29963,38259000,"(750, 5161, 264, 15301, 368, 297, 278, 3517, 316, 6332, 9401, 411, 278, 1833, 29871, 29896, 29892, 29900, 29900, 29900, 2440)"
24,29965,88177525,"(393, 263, 8078, 272, 750, 7841, 385, 443, 24681, 1880, 29899, 19322, 6601, 3957, 304, 967, 17266, 403, 3564, 393, 6068, 278)"
25,30015,36221477,"(488, 29877, 674, 505, 9850, 839, 1048, 29871, 29946, 29889, 29953, 24464, 24016, 491, 278, 931, 372, 19572, 27441, 1524)"
26,30145,135716751,"(338, 278, 501, 29889, 29903, 29889, 5443, 310, 278, 29871, 29955, 29955, 7284, 29899, 14242, 3218, 506, 273, 1876, 13094)"
27,30448,727561,"(29871, 29896, 29892, 29947, 29900, 29900, 5144, 310, 278, 3082, 9121, 505, 1063, 7180, 297, 27467, 747, 449, 29875, 304, 7512)"
28,30448,727561,"(9121, 505, 1063, 7180, 297, 27467, 747, 449, 29875, 304, 7512, 6795, 357, 729, 1608, 6931, 297, 278, 19674, 310, 10557)"
29,31537,119766981,"(408, 1784, 408, 29871, 29896, 29892, 29906, 29900, 29900, 10404, 8041, 472, 26286, 14114, 6346, 674, 11705, 297, 278, 330, 962, 363, 278, 937, 1855, 17948)"
30,31631,25964547,"(10387, 423, 756, 1063, 2743, 3730, 322, 3036, 23883, 368, 28886, 310, 752, 17024, 297, 278, 25305, 293, 15115, 391, 16661, 310)"
31,31631,47118457,"(10387, 423, 756, 1063, 2743, 3730, 322, 3036, 23883, 368, 28886, 310, 752, 17024, 297, 278, 25305, 293, 15115, 391, 16661, 310)"
32,32069,66571977,"(2440, 10761, 297, 29871, 29896, 29929, 29947, 29906, 746, 29871, 29941, 29900, 29899, 6360, 29899, 1025, 5765, 383, 18939, 14455, 964)"
33,32126,13581060,"(394, 6205, 16079, 368, 2023, 393, 21375, 29939, 4944, 5518, 2304, 304, 9016, 365, 4858, 322, 394, 29899, 29984, 29874, 1458)"
34,32151,119766981,"(408, 1784, 408, 29871, 29896, 29892, 29906, 29900, 29900, 10404, 8041, 472, 26286, 14114, 6346, 674, 11705, 297, 278, 330, 962, 363, 278, 937, 1855)"
35,32942,140282028,"(4023, 2168, 322, 393, 278, 17202, 310, 7904, 8819, 321, 29899, 2549, 23957, 10070, 892, 2221, 304, 2009, 393, 278, 321)"
36,33068,98084517,"(891, 14213, 19711, 4436, 24114, 297, 1426, 29901, 462, 1678, 891, 13, 1678, 891, 462, 462, 462, 9651, 891, 13, 1678, 891, 9305, 921, 440, 29901, 23040, 16714, 28435, 297, 6137, 310, 2866, 1237, 4706, 891, 13, 1678, 891, 626, 2760, 304, 1993, 16385, 28435, 373, 1813, 29871, 29945, 29946, 29889, 1669, 891, 13, 1678, 891, 9305, 29871, 29906, 29901, 1539, 12451, 952, 293, 10323, 29877, 29899, 1188, 1417, 29899, 3944, 29885, 3543, 29899, 22234, 3002, 9651, 891, 13, 1678, 891, 626, 2760, 304, 1539, 12451, 952, 1417, 29899, 1552, 1189, 1417, 29899, 3944, 29885, 3543, 29899, 22234, 3002, 29889, 4706, 891, 13, 1678, 891, 9305, 29871, 29896, 29945, 29947, 29901, 7326, 11197, 2784, 626, 2760, 304, 951, 747, 29204, 29889, 462, 1678, 891, 13, 1678, 891)"
37,33068,98084517,"(293, 10323, 29877, 29899, 1188, 1417, 29899, 3944, 29885, 3543, 29899, 22234, 3002, 9651, 891, 13, 1678, 891, 626, 2760, 304, 1539, 12451, 952, 1417, 29899, 1552, 1189, 1417, 29899, 3944, 29885, 3543, 29899, 22234, 3002, 29889, 4706, 891, 13, 1678, 891, 9305, 29871, 29896, 29945, 29947, 29901, 7326, 11197, 2784, 626, 2760, 304, 951, 747, 29204, 29889, 462, 1678, 891, 13, 1678, 891, 9305, 29871, 29896, 29953, 29947, 29901, 3736, 9841, 626, 2760, 304, 21634, 29889, 462, 29871, 891, 13, 1678, 891, 9305, 29871, 29896, 29955, 29906, 29901, 364, 692, 728, 626, 2760, 304, 696, 2543, 728, 29936, 274, 5727, 626, 2760, 304, 268, 891, 13, 1678, 891, 11660, 1983, 29889, 462, 462, 462, 1678, 891, 13, 1678, 891, 462, 462, 462, 9651, 891, 13, 1678)"
38,33068,98084517,"(891, 9305, 29871, 29896, 29953, 29947, 29901, 3736, 9841, 626, 2760, 304, 21634, 29889, 462, 29871, 891, 13, 1678, 891, 9305, 29871, 29896, 29955, 29906, 29901, 364, 692, 728, 626, 2760, 304, 696, 2543, 728, 29936, 274, 5727, 626, 2760, 304, 268, 891, 13, 1678, 891, 11660, 1983, 29889, 462, 462, 462, 1678, 891, 13, 1678, 891, 462, 462, 462, 9651, 891, 13, 1678, 891, 6804, 727, 338, 385, 5186, 1353, 310, 8871, 310, 263, 1734, 418, 891, 13, 1678, 891, 1641, 7498, 9789, 630, 322, 443, 5819, 9789, 630, 29892, 1716, 6910, 965, 891, 13, 1678, 891, 310, 278, 1734, 505, 1063, 26060, 29901, 270, 686, 29899, 29131, 29914, 29881, 686, 29131, 29936, 4706, 891, 13, 1678, 891, 322, 716, 29899, 510, 414, 29914, 1482, 510)"
39,33079,31348956,"(278, 443, 3167, 519, 3186, 310, 7014, 29892, 607, 7432, 4076, 304, 13, 1552, 3186, 310, 4060, 6514, 15509, 17842, 310, 16832, 1122, 6852, 304, 372, 29889, 13, 1576, 19781, 1855, 3186, 29892, 363, 1858, 1219, 29892, 338, 278, 3186, 310, 7014, 29936, 363, 6514, 13, 705, 1122, 4218, 304, 1827, 1048, 2712, 297, 278, 3186, 310, 4060, 29892, 591, 508, 871, 13, 29879, 1682, 3947, 297, 5934, 393, 896, 5221, 403, 297, 1316, 322, 1316, 7014, 29892, 607, 29892, 13, 12711, 1079, 29892, 1040, 12356, 599, 1009, 2931, 29889, 10133, 372, 338, 4780, 304, 1209, 13, 265, 964, 263, 16624, 293, 1608, 29889, 1334, 1122, 4966, 29892, 297, 263, 16624, 293, 4486, 398, 3381, 29892, 304, 1074, 278, 13, 680, 294, 408, 591, 1074, 3618, 310, 4060)"
40,33082,79299421,"(7250, 9401, 304, 278, 325, 735, 287, 322, 13, 303, 555, 29891, 4646, 310, 278, 4940, 29889, 450, 5518, 8249, 472, 278, 11549, 284, 310, 13, 1552, 10432, 577, 369, 7577, 505, 1286, 1063, 2578, 27225, 29936, 278, 22338, 13774, 13, 326, 771, 1490, 29936, 727, 338, 901, 13013, 297, 1716, 7631, 322, 9121, 13, 3470, 7121, 29936, 12084, 411, 278, 577, 369, 7577, 4234, 338, 2381, 361, 357, 322, 1190, 261, 29936, 13, 11360, 756, 694, 22595, 28177, 29936, 902, 17715, 338, 28715, 29936, 322, 278, 4234, 13, 24130, 630, 2444, 304, 505, 3109, 8548, 29892, 3109, 7051, 12232, 363, 21820, 29892, 13, 29874, 1734, 393, 338, 304, 372, 4359, 297, 510, 1457, 26791, 1821, 29889, 17296, 769, 472)"
41,33082,79299421,"(278, 577, 369, 7577, 4234, 338, 2381, 361, 357, 322, 1190, 261, 29936, 13, 11360, 756, 694, 22595, 28177, 29936, 902, 17715, 338, 28715, 29936, 322, 278, 4234, 13, 24130, 630, 2444, 304, 505, 3109, 8548, 29892, 3109, 7051, 12232, 363, 21820, 29892, 13, 29874, 1734, 393, 338, 304, 372, 4359, 297, 510, 1457, 26791, 1821, 29889, 17296, 769, 472, 13, 4102, 21798, 2225, 1179, 1790, 2211, 21726, 29892, 472, 3203, 29892, 310, 10776, 1319, 13, 3129, 3381, 322, 22024, 339, 309, 480, 3298, 475, 1017, 29889, 13, 13, 6246, 2038, 278, 5518, 2050, 800, 526, 564, 5921, 4045, 29892, 27597, 29892, 13, 974, 385, 11314, 936, 5469, 29892, 2215, 901, 13988, 322, 1301, 29883, 3906, 284, 29889, 13, 13)"
42,33082,79299421,"(13, 4102, 21798, 2225, 1179, 1790, 2211, 21726, 29892, 472, 3203, 29892, 310, 10776, 1319, 13, 3129, 3381, 322, 22024, 339, 309, 480, 3298, 475, 1017, 29889, 13, 13, 6246, 2038, 278, 5518, 2050, 800, 526, 564, 5921, 4045, 29892, 27597, 29892, 13, 974, 385, 11314, 936, 5469, 29892, 2215, 901, 13988, 322, 1301, 29883, 3906, 284, 29889, 13, 13, 15988, 296, 1338, 29892, 322, 278, 26417, 297, 3153, 29892, 526, 263, 20502, 2305, 29901, 13, 6144, 293, 4135, 310, 19688, 338, 758, 24130, 424, 411, 963, 29889, 7753, 1286, 29892, 297, 21100, 13, 974, 6958, 411, 278, 17543, 284, 19079, 29892, 1058, 505, 1957, 1338, 1422, 13, 3166, 670, 29892, 591, 1074, 278, 3792, 388, 273, 21391, 1789, 28839)"
43,33199,98084517,"(470, 3006, 10405, 364, 3096, 5834, 1058, 3041, 2868, 13, 1169, 7101, 29889, 450, 23041, 265, 300, 471, 884, 263, 903, 2146, 4543, 2769, 29918, 363, 278, 4892, 310, 13, 344, 369, 284, 17202, 29889, 450, 3353, 1795, 5253, 304, 17058, 10405, 3669, 3137, 29889, 13, 29907, 392, 680, 29892, 1058, 14586, 27225, 763, 263, 8578, 359, 13434, 29892, 20552, 3654, 408, 1532, 408, 540, 13, 26680, 2645, 445, 13444, 293, 541, 305, 708, 29889, 13, 13, 4178, 3309, 29892, 1550, 278, 1023, 413, 886, 892, 10805, 1920, 897, 398, 304, 367, 269, 686, 1269, 297, 13, 22880, 1914, 4242, 29892, 28433, 680, 11527, 304, 748, 322, 2769, 17551, 373, 9545, 322, 13, 1113, 6394, 29889, 940, 4502, 975, 540, 2547, 310, 7123, 322, 27116, 29892, 322, 937, 7450, 263, 13, 484, 1141, 6526)"
44,33199,98084517,"(2645, 445, 13444, 293, 541, 305, 708, 29889, 13, 13, 4178, 3309, 29892, 1550, 278, 1023, 413, 886, 892, 10805, 1920, 897, 398, 304, 367, 269, 686, 1269, 297, 13, 22880, 1914, 4242, 29892, 28433, 680, 11527, 304, 748, 322, 2769, 17551, 373, 9545, 322, 13, 1113, 6394, 29889, 940, 4502, 975, 540, 2547, 310, 7123, 322, 27116, 29892, 322, 937, 7450, 263, 13, 484, 1141, 6526, 292, 5720, 29936, 372, 471, 297, 274, 513, 414, 29892, 372, 471, 385, 1976, 598, 5720, 607, 13, 1552, 28126, 1306, 550, 750, 6866, 593, 5034, 304, 278, 14243, 310, 1370, 29889, 2266, 29892, 2030, 1757, 13, 11911, 287, 411, 281, 3885, 29892, 2306, 2495, 1009, 281, 3145, 29892, 298, 688, 3460, 1009, 4344, 304, 1009, 13, 14073, 1486, 2078, 19416, 29892, 4158, 562, 1127, 1434, 1009)"
45,33199,98084517,"(292, 5720, 29936, 372, 471, 297, 274, 513, 414, 29892, 372, 471, 385, 1976, 598, 5720, 607, 13, 1552, 28126, 1306, 550, 750, 6866, 593, 5034, 304, 278, 14243, 310, 1370, 29889, 2266, 29892, 2030, 1757, 13, 11911, 287, 411, 281, 3885, 29892, 2306, 2495, 1009, 281, 3145, 29892, 298, 688, 3460, 1009, 4344, 304, 1009, 13, 14073, 1486, 2078, 19416, 29892, 4158, 562, 1127, 1434, 1009, 17240, 29936, 727, 29892, 1009, 29215, 29892, 13, 2218, 1590, 340, 14356, 322, 16172, 292, 1009, 1833, 1156, 2534, 15787, 278, 13, 25047, 10753, 310, 29405, 713, 13444, 267, 29936, 1550, 4045, 29892, 4203, 6866, 593, 297, 278, 13, 1579, 1280, 29892, 25945, 287, 304, 367, 553, 5041, 287, 29889, 450, 8437, 471, 380, 3973, 287, 411, 4105, 1144, 29892, 13, 279, 1516, 29892, 322, 21152, 29889)"
46,33200,98084517,"(4203, 528, 2546, 17713, 322, 12475, 287, 29889, 450, 26718, 892, 23990, 29892, 278, 13, 29885, 19416, 9391, 29892, 278, 21239, 330, 10501, 29889, 5244, 1058, 723, 29892, 694, 697, 6091, 29892, 694, 697, 13, 6519, 287, 29889, 450, 530, 370, 2156, 391, 1641, 2501, 19810, 23888, 263, 1361, 29936, 746, 263, 26644, 728, 13, 29879, 737, 272, 15469, 1075, 20928, 322, 12341, 1075, 26183, 1847, 29936, 541, 411, 278, 21448, 13, 974, 278, 13031, 540, 3654, 260, 25443, 2343, 363, 331, 520, 975, 3377, 29892, 322, 10771, 2501, 263, 13, 12343, 346, 310, 278, 9391, 286, 579, 29889, 7906, 342, 5011, 6350, 304, 670, 18872, 29892, 447, 29884, 839, 1075, 13, 786, 29892, 322, 515, 278, 7225, 540, 1754, 471, 25720, 22731, 964, 278, 7205, 297, 11126, 13, 974, 278, 14892, 272, 29892, 1058, 2175, 1075, 304)"
47,33200,98084517,"(278, 21448, 13, 974, 278, 13031, 540, 3654, 260, 25443, 2343, 363, 331, 520, 975, 3377, 29892, 322, 10771, 2501, 263, 13, 12343, 346, 310, 278, 9391, 286, 579, 29889, 7906, 342, 5011, 6350, 304, 670, 18872, 29892, 447, 29884, 839, 1075, 13, 786, 29892, 322, 515, 278, 7225, 540, 1754, 471, 25720, 22731, 964, 278, 7205, 297, 11126, 13, 974, 278, 14892, 272, 29892, 1058, 2175, 1075, 304, 639, 728, 29892, 1728, 316, 647, 292, 304, 1106, 472, 1075, 29889, 13, 29907, 392, 680, 15010, 2978, 322, 4446, 670, 7795, 7168, 29892, 1058, 11492, 2038, 278, 4094, 697, 13, 29885, 2932, 322, 471, 769, 2381, 24622, 701, 363, 3926, 29889, 940, 471, 925, 2675, 304, 12500, 13, 7045, 1075, 29892, 541, 471, 5557, 287, 491, 278, 8578, 359, 13434, 349, 574, 6758, 29892, 1058, 13, 2310, 265)"
48,33200,98084517,"(639, 728, 29892, 1728, 316, 647, 292, 304, 1106, 472, 1075, 29889, 13, 29907, 392, 680, 15010, 2978, 322, 4446, 670, 7795, 7168, 29892, 1058, 11492, 2038, 278, 4094, 697, 13, 29885, 2932, 322, 471, 769, 2381, 24622, 701, 363, 3926, 29889, 940, 471, 925, 2675, 304, 12500, 13, 7045, 1075, 29892, 541, 471, 5557, 287, 491, 278, 8578, 359, 13434, 349, 574, 6758, 29892, 1058, 13, 2310, 265, 710, 630, 304, 1075, 393, 278, 6211, 310, 15285, 6718, 750, 1063, 1754, 373, 6437, 363, 13, 1552, 530, 370, 2156, 391, 304, 367, 270, 4708, 287, 29889, 5806, 540, 471, 1326, 292, 445, 903, 30001, 3691, 4170, 3383, 278, 13, 3527, 1476, 14561, 29936, 599, 639, 3276, 5174, 349, 574, 6758, 29892, 28433, 680, 29892, 322, 393, 26644, 284, 13, 29879, 737, 272, 1058, 750, 270, 4708, 287)"
49,33323,98084517,"(13, 29908, 29144, 596, 26820, 1699, 7699, 278, 2452, 29894, 728, 29889, 13, 13, 29908, 29902, 471, 297, 26926, 1699, 1497, 349, 574, 6758, 29892, 376, 5747, 306, 881, 2769, 411, 366, 263, 2217, 13, 12717, 9946, 322, 9545, 29892, 1048, 278, 1900, 310, 1950, 3186, 29879, 29892, 278, 3978, 13, 974, 16126, 29892, 278, 5469, 310, 278, 10752, 29892, 322, 278, 758, 29899, 342, 370, 3726, 10311, 2592, 1213, 13, 13, 4178, 1438, 3838, 29892, 278, 2452, 29894, 728, 12522, 278, 3050, 297, 1009, 17240, 29889, 13, 13, 29928, 3864, 445, 14983, 29892, 278, 9763, 471, 9677, 393, 1023, 478, 466, 4285, 322, 278, 13, 29924, 29884, 615, 29875, 750, 1063, 851, 574, 839, 472, 23194, 1991, 29892, 322, 393, 3196, 310, 1009, 13, 7932, 1975, 750, 1063, 2411, 7943, 29889, 910, 6635, 579, 1336, 354, 1754)"
50,33323,98084517,"(1213, 13, 13, 4178, 1438, 3838, 29892, 278, 2452, 29894, 728, 12522, 278, 3050, 297, 1009, 17240, 29889, 13, 13, 29928, 3864, 445, 14983, 29892, 278, 9763, 471, 9677, 393, 1023, 478, 466, 4285, 322, 278, 13, 29924, 29884, 615, 29875, 750, 1063, 851, 574, 839, 472, 23194, 1991, 29892, 322, 393, 3196, 310, 1009, 13, 7932, 1975, 750, 1063, 2411, 7943, 29889, 910, 6635, 579, 1336, 354, 1754, 263, 2107, 11462, 363, 777, 13, 29882, 2470, 29889, 349, 574, 6758, 29892, 28433, 680, 29892, 322, 6502, 29892, 7863, 304, 278, 2217, 17888, 29892, 4446, 13, 29874, 1781, 2030, 767, 5622, 278, 10849, 4799, 472, 670, 3050, 1090, 385, 24841, 289, 1680, 29889, 13, 29925, 574, 6758, 29892, 1058, 471, 408, 297, 7680, 3321, 408, 540, 471, 2980, 1230, 29892, 4433, 278, 2030, 13, 1171, 825, 471, 278)"
51,33340,107595219,"(289, 10071, 310, 624, 29889, 13358, 29886, 625, 304, 29880, 839, 278, 7234, 29892, 322, 1183, 4687, 701, 29892, 13590, 13, 2541, 1238, 369, 728, 756, 371, 7839, 29908, 29902, 1818, 8341, 29991, 1932, 366, 5429, 592, 366, 18012, 13, 1004, 489, 6293, 489, 6293, 4433, 592, 3078, 29936, 541, 769, 29892, 1584, 769, 29892, 372, 471, 2086, 5683, 29892, 322, 13, 29918, 5747, 916, 2834, 29918, 607, 7868, 29879, 592, 304, 1075, 29892, 1818, 2317, 363, 3926, 1546, 366, 13, 392, 592, 29991, 1152, 727, 903, 275, 1790, 29918, 6029, 540, 756, 17049, 29892, 322, 338, 1781, 304, 29889, 940, 13, 21969, 451, 762, 7839, 19562, 2609, 15049, 1075, 29892, 363, 393, 903, 1228, 29915, 29879, 29918, 16563, 3850, 13, 13, 2308, 296, 3290, 10884, 2222, 29892, 541, 670, 13133, 6350, 373, 297, 385, 1006, 1195, 519, 377, 5168, 29889, 13, 13, 29903, 2904, 6071, 29892, 2217, 19628, 6071, 29892, 1058, 7258, 411)"
52,33340,71983675,"(289, 10071, 310, 624, 29889, 13358, 29886, 625, 304, 29880, 839, 278, 7234, 29892, 322, 1183, 4687, 701, 29892, 13590, 13, 2541, 1238, 369, 728, 756, 371, 7839, 29908, 29902, 1818, 8341, 29991, 1932, 366, 5429, 592, 366, 18012, 13, 1004, 489, 6293, 489, 6293, 4433, 592, 3078, 29936, 541, 769, 29892, 1584, 769, 29892, 372, 471, 2086, 5683, 29892, 322, 13, 29918, 5747, 916, 2834, 29918, 607, 7868, 29879, 592, 304, 1075, 29892, 1818, 2317, 363, 3926, 1546, 366, 13, 392, 592, 29991, 1152, 727, 903, 275, 1790, 29918, 6029, 540, 756, 17049, 29892, 322, 338, 1781, 304, 29889, 940, 13, 21969, 451, 762, 7839, 19562, 2609, 15049, 1075, 29892, 363, 393, 903, 1228, 29915, 29879, 29918, 16563, 3850, 13, 13, 2308, 296, 3290, 10884, 2222, 29892, 541, 670, 13133, 6350, 373, 297, 385, 1006, 1195, 519, 377, 5168, 29889, 13, 13, 29903, 2904, 6071, 29892, 2217, 19628, 6071, 29892, 1058, 7258, 411)"
53,33420,98084517,"(310, 11847, 414, 29889, 1152, 29892, 297, 3273, 29892, 382, 3820, 265, 29892, 4088, 310, 4546, 370, 29892, 471, 13, 465, 465, 262, 630, 491, 382, 29882, 566, 29936, 24650, 17419, 471, 18757, 491, 670, 11315, 29892, 322, 9307, 1133, 411, 13, 17536, 270, 5708, 29936, 4088, 18496, 370, 29892, 278, 1487, 310, 5677, 711, 29877, 314, 29892, 471, 9445, 491, 6000, 11290, 29936, 4088, 13, 29923, 433, 491, 796, 326, 374, 29936, 9070, 834, 21071, 491, 2581, 6905, 29936, 9193, 19627, 29882, 491, 2581, 1251, 29018, 29936, 278, 21701, 13, 13836, 1251, 423, 20903, 29892, 2581, 535, 21071, 29892, 322, 796, 287, 1416, 21071, 29892, 892, 5331, 964, 4332, 2068, 29889, 887, 1073, 920, 13, 546, 3276, 8764, 267, 375, 29892, 10186, 29891, 1179, 29892, 360, 19563, 29892, 360, 291, 952, 2482, 310, 8713, 945, 1509, 29892, 349, 4316, 29878, 14116, 29892, 13, 5894, 344, 375, 29892, 13889, 747, 284, 29892, 12028, 332, 15457, 29892, 25775, 586, 391, 375, 29892, 315, 30078, 29879, 279, 29892, 14351)"
54,33420,98084517,"(491, 2581, 1251, 29018, 29936, 278, 21701, 13, 13836, 1251, 423, 20903, 29892, 2581, 535, 21071, 29892, 322, 796, 287, 1416, 21071, 29892, 892, 5331, 964, 4332, 2068, 29889, 887, 1073, 920, 13, 546, 3276, 8764, 267, 375, 29892, 10186, 29891, 1179, 29892, 360, 19563, 29892, 360, 291, 952, 2482, 310, 8713, 945, 1509, 29892, 349, 4316, 29878, 14116, 29892, 13, 5894, 344, 375, 29892, 13889, 747, 284, 29892, 12028, 332, 15457, 29892, 25775, 586, 391, 375, 29892, 315, 30078, 29879, 279, 29892, 14351, 412, 29891, 29892, 405, 1489, 29892, 438, 386, 29877, 29892, 13, 29963, 277, 5481, 375, 29892, 7809, 277, 713, 29892, 6123, 1944, 29889, 310, 5408, 29892, 9300, 1944, 1696, 6498, 5473, 1696, 13, 25627, 538, 4786, 1696, 6182, 24710, 29892, 5322, 306, 1696, 278, 2211, 6498, 29879, 310, 3444, 29892, 278, 13, 6026, 13651, 6498, 6599, 29889, 29991, 887, 1073, 807, 29908, 13, 13, 29908, 29902, 1073, 884, 1699, 1497, 28433, 680, 29892, 376, 5747, 591, 1818, 18834, 403, 1749, 16423, 1213, 13)"
55,33420,98084517,"(14351, 412, 29891, 29892, 405, 1489, 29892, 438, 386, 29877, 29892, 13, 29963, 277, 5481, 375, 29892, 7809, 277, 713, 29892, 6123, 1944, 29889, 310, 5408, 29892, 9300, 1944, 1696, 6498, 5473, 1696, 13, 25627, 538, 4786, 1696, 6182, 24710, 29892, 5322, 306, 1696, 278, 2211, 6498, 29879, 310, 3444, 29892, 278, 13, 6026, 13651, 6498, 6599, 29889, 29991, 887, 1073, 807, 29908, 13, 13, 29908, 29902, 1073, 884, 1699, 1497, 28433, 680, 29892, 376, 5747, 591, 1818, 18834, 403, 1749, 16423, 1213, 13, 13, 29908, 3492, 526, 1492, 1699, 1497, 349, 574, 6758, 29892, 376, 1454, 746, 767, 471, 937, 7180, 297, 278, 13, 29954, 7879, 310, 382, 1145, 29892, 540, 471, 1925, 727, 903, 329, 1751, 10474, 332, 321, 398, 3383, 393, 540, 1795, 13, 29883, 499, 440, 403, 372, 29936, 607, 3697, 393, 767, 471, 451, 6345, 304, 367, 28132, 1213, 13, 13, 29908, 12024, 502, 664, 1699, 1497, 6502, 29892, 376, 14037, 8937, 292, 29936, 372, 338, 278, 871, 982, 304, 13, 9482)"
56,33432,31348956,"(738, 27262, 515, 825, 756, 1063, 4392, 1312, 304, 825, 13, 5349, 451, 1063, 4392, 1312, 29889, 2178, 6273, 607, 29892, 373, 278, 8405, 310, 7271, 29892, 13, 1191, 434, 408, 304, 278, 5434, 470, 278, 443, 735, 546, 819, 1133, 5633, 310, 278, 4940, 470, 13, 6338, 29892, 5251, 278, 22799, 573, 12502, 29936, 8151, 591, 508, 2360, 671, 13, 735, 546, 5597, 304, 6356, 278, 22799, 573, 12502, 1728, 25945, 292, 278, 13, 12470, 29889, 6549, 591, 1818, 2845, 3544, 278, 22799, 573, 12502, 373, 278, 13, 2057, 310, 967, 11158, 28594, 10757, 29892, 470, 363, 1484, 599, 925, 2450, 310, 1749, 13, 17854, 800, 1048, 278, 5434, 29889, 960, 278, 12502, 338, 9644)"
